Displacement,Area,Pitch,Threshold Current
48.62497367,1000.065652,299.9341742,0.555861672
300.1636597,99.23688195,47.70781935,10.63096152
301.4366906,100.4090628,108.1759332,7.520771341
296.8992127,105.9517344,175.1597972,5.878411839
297.1636756,100.9248313,231.2627613,4.757050215
295.4751665,101.9009213,298.2114205,4.032770273
304.4826278,318.0767977,49.16951408,4.482304858
297.5873132,327.4363404,110.356031,3.759498013
297.9204028,318.4731499,174.6250649,3.222166764
295.9547114,331.7447993,300.5808325,2.747914009
299.2752255,548.0588462,51.79491958,2.875643202
301.4842544,564.040292,111.8636906,2.520913076
297.5612644,559.3208278,173.370758,2.253246132
301.5124979,552.4891614,234.7597635,1.80783896
297.5999731,549.7676919,298.9072436,1.881956805
299.6128086,782.1296699,52.2871333,2.189226232
300.8771991,772.1448131,109.7537116,1.954510374
304.5596015,778.84513,174.1954058,1.812987684
303.2855687,778.5508073,235.4844318,2.0494249
296.8585004,779.4633667,299.2361336,1.532781555
298.474346,1007.696801,50.18861221,1.788609769
301.7229542,1009.425494,109.4752687,1.610609108
304.2874223,1011.475482,174.2732591,1.572923717
302.6625891,998.0484632,237.2828285,1.385311572
305.7230875,986.2605033,300.2951868,1.223332784
306.6012046,98.25849673,48.13801672,11.12156996
301.5821162,109.0598264,110.3167916,7.918591779
299.3802565,105.7169785,174.491773,6.069439055
296.5947347,99.23089218,232.5498988,5.019968672
303.4008834,103.4308316,296.756422,4.203635349
302.535392,320.8411104,47.9003597,4.705584928
307.3587966,333.4505947,103.1536915,3.89027049
298.4716382,318.8216882,174.7661921,3.255015431
304.1793673,327.2530118,299.5063597,2.864405969
302.7876638,539.3629789,49.48560308,3.014609677
305.3617041,537.6760193,109.8202955,2.606466285
301.6416875,552.4189042,176.0986361,2.359797368
301.2385185,557.7790947,236.648145,1.941897323
292.9980628,546.1557166,297.4450839,1.903407759
293.2888848,778.4174722,52.78377443,2.307028314
298.586406,768.0684177,110.3406459,2.065794429
297.3479958,771.881154,173.8416629,1.879070002
296.8099827,768.7866381,233.2732527,2.105993942
298.6570915,765.7371567,303.7334735,1.605400499
302.1986723,1001.952086,49.66734653,1.826589399
300.6023369,1005.582219,109.3875996,1.761676206
301.7257858,1004.799867,174.3022167,1.576493361
297.9750128,1006.295155,236.0502721,1.459497592
293.9362206,998.2079379,301.9602052,1.369068008
302.2455494,98.77125136,52.47913928,10.72330944
302.8978344,103.7512355,110.7446804,7.484514094
309.5630153,108.1800937,171.2667011,5.780707502
304.4428475,93.79495771,235.9165385,5.03773058
303.6502665,98.43907288,300.8471747,4.007426197
305.1793732,314.3517347,47.88458219,4.493018422
304.8459041,325.6333267,110.6015532,3.835967999
304.206158,333.9359306,175.1981826,3.18903628
305.9814525,312.3848163,299.5307604,2.750126058
300.0851631,555.0672263,48.89404651,2.839503202
303.0188537,536.2016373,112.307361,2.520792354
294.3171897,542.5832354,175.9071434,2.211012478
299.3177138,555.4308781,232.1484954,1.849778616
302.3139595,570.5921189,301.5160456,1.832893925
302.1194286,777.9634196,50.90073318,2.248089519
298.5591176,773.9604721,107.5638711,1.945759858
301.2597388,770.3679572,178.8865999,1.733675526
303.2378805,775.0665235,232.0692821,2.013235605
300.3996474,782.1275014,299.6203746,1.493096544
305.2889191,996.3927084,51.59634745,1.763897306
300.9834651,999.92172,111.6387611,1.62697751
302.9384327,996.7320598,178.2394389,1.555796093
302.5213845,999.9610866,234.9536686,1.350468582
296.9835166,997.6700833,300.1922013,1.268492444
548.9483364,100.6420006,52.97940469,10.69550454
550.53012,104.9088525,110.0137858,7.587044794
546.1864063,109.553337,175.657029,5.79637209
552.5256441,93.71797579,235.0958065,4.967710203
550.1216474,95.12992197,297.5182088,3.999257087
552.4244283,330.8041768,51.31049324,4.473517167
556.9373353,330.0523633,111.6813714,3.827950162
551.9209171,314.222167,173.6817664,3.105398091
549.8565851,330.2951054,299.0967707,2.794819472
548.5150555,548.446293,48.63014802,2.885569516
551.5843652,552.425132,112.1668614,2.480166848
549.4250029,538.4277604,172.3647265,2.197675748
545.1000619,543.2989148,236.8094788,1.845315089
553.3009505,542.6349076,299.1807113,1.880508179
551.0726901,789.5793162,49.25124754,2.157521307
551.2433015,777.3989213,109.1136792,2.074633233
550.4931887,770.4654953,176.1253642,1.864938648
546.2990448,772.6999825,233.90847,2.026506041
547.6790937,773.5683564,302.2716863,1.56164973
552.3258187,997.109285,49.71720974,1.808360513
552.3120687,995.5190113,107.9277599,1.655367937
555.7353043,1003.304976,175.4927761,1.563465819
547.9831178,985.0456494,231.5501028,1.468158761
552.0549807,1003.557158,299.6456745,1.232371626
51.5400471,102.374301,49.33171152,3.671980643
46.37939287,103.6489611,108.7174025,2.58799149
49.66059995,101.0651389,175.3709708,2.070690818
54.18749608,100.8885526,235.4751529,1.709790572
50.14772578,90.9489359,303.993259,1.50247556
50.68657203,332.1252074,48.89081885,1.637301165
43.05170244,321.626032,110.212269,1.414034373
46.03158772,340.0764575,174.2330074,1.17429086
51.60366907,322.2098265,300.413991,1.040763467
53.26318205,555.5035084,50.55184388,1.023162256
52.68734471,549.9803567,108.5998605,0.968865394
50.04165376,555.7336119,175.8891645,0.968999462
46.99241069,550.1762616,234.2261801,0.704760653
46.28324414,550.5805599,297.5605851,0.783573488
46.95350884,776.3424472,48.38815138,0.819975229
55.38444816,756.7955465,110.4627505,0.817184874
50.72361477,775.6329012,175.8994858,0.745808909
50.29608512,775.5633197,233.0485726,0.87617287
52.00510142,765.5622899,299.8710548,0.629716095
47.47943972,996.9382928,52.5480038,0.79943694
52.11028936,1005.468348,112.3612282,0.749557333
55.00484415,999.5010105,175.5892864,0.659414558
50.05453209,994.2945804,234.4593565,0.603431022
52.82662903,1001.794166,300.4184838,0.470361814
301.4389461,100.3927684,49.88560655,10.66143513
300.8796932,115.6296577,111.981572,7.513748641
306.6479465,103.5227317,174.9650042,5.827864668
303.1722805,98.46636274,234.4152054,4.843242674
302.5892058,110.9741387,298.406538,3.999960518
301.4494864,312.5216501,49.51923002,4.560321312
301.9260091,334.5598175,109.3694728,3.713844964
301.364473,322.9334868,173.957029,3.12309741
299.7355559,323.3524451,300.981366,2.739135156
301.4992841,555.5600012,48.92639889,2.809865928
299.5535108,550.038909,111.6887101,2.506363823
295.5006194,542.9253553,176.8670646,2.256865987
305.1262317,547.7222088,231.6519152,1.79127402
301.3356569,546.8804945,297.1992992,1.842058225
301.2598249,778.0416793,51.28686315,2.206116733
304.568348,780.0073357,111.1374617,1.992322587
291.2309132,763.3582186,173.949047,1.806833545
301.1206505,771.207823,233.8117638,2.004554616
301.5251901,786.7797872,298.1928185,1.554647903
303.1472941,1006.347726,49.97679116,1.895715496
304.9917637,992.2310042,113.4083526,1.694628345
306.2034774,998.4276999,175.065389,1.544642689
301.1145488,999.4289685,236.8118049,1.37058352
300.0490557,990.8016032,301.9113573,1.251052389
299.9506729,90.75454838,49.74133549,11.06137842
302.7432574,106.4630357,108.2069795,7.86621742
297.0475605,109.8233047,173.661313,6.054517234
303.4171828,105.330288,234.8899785,4.997407496
299.0940854,105.6512147,300.2743423,4.235608809
295.2513431,329.4588284,47.70003433,4.639451363
305.6815267,326.1111173,109.6494175,3.981076974
302.1461884,326.7333637,175.7848077,3.357728947
304.3604597,318.8960134,303.2359968,2.939337997
298.1573099,555.6515654,52.68934298,2.998754084
297.7665664,550.6629313,107.0517061,2.691877403
293.7799801,550.8152029,174.158175,2.379277183
301.2114113,553.0430957,232.3350099,1.953512092
300.285039,555.9728697,300.8159404,1.983237956
303.7727388,772.1903694,50.42977826,2.261713401
297.4013519,775.0956871,110.4821569,2.073874979
298.7242337,778.1160397,177.8239916,1.951484445
297.9581128,773.0100157,234.2686756,2.116323984
305.4498492,778.8693859,299.5981183,1.579262569
304.0716616,1003.956854,49.35598567,1.855505862
293.9000516,996.9356205,112.2104802,1.724810852
298.8332578,1000.223416,175.8149541,1.558626985
299.5191352,1004.756535,235.8887052,1.413825698
301.3195598,988.4759964,299.4064714,1.370376108
300.9903277,99.11405523,49.15433841,10.69484384
304.1424728,101.2212326,108.5273821,7.526706235
298.8051885,92.47871396,177.5614941,5.820019657
295.9650632,98.06483365,234.7073043,5.029858286
301.2968994,103.7490633,299.828587,4.0247097
297.5697008,313.974753,47.99890992,4.609067422
300.0167104,335.0493695,110.5537822,3.665730983
298.5381977,313.1567941,177.4698426,3.152307099
301.9134505,332.4321376,301.9187838,2.806729619
299.3814433,549.6173036,49.32073747,2.919260848
298.8623598,549.7739754,109.5826062,2.525037993
299.8822722,544.7888388,177.9342605,2.310061603
297.6468286,555.869075,236.4614569,1.799197184
302.6272639,553.7600311,303.9939559,1.793819834
302.5797769,782.4894914,51.0297413,2.204359668
298.8834059,770.9013784,111.766781,1.964179104
301.0576151,768.3315504,175.1306998,1.762374023
299.2799751,782.2694835,234.7657141,2.070898032
297.7613377,779.5676226,298.1951795,1.553304005
299.422638,996.313859,48.4116775,1.782401507
302.531353,995.882558,108.8693404,1.671655859
294.5284012,1005.426027,179.278227,1.420396186
297.6417851,983.6071625,232.5446046,1.418738468
296.9728939,999.1093525,296.5487659,1.233772262
546.874338,103.2161937,53.46873419,10.69560449
552.9291088,95.30937001,111.4512656,7.575743035
552.7968834,96.91100053,173.8223509,5.85324594
542.6026281,103.6308827,236.2275889,5.019418807
553.8920628,94.91237057,300.0343903,4.023299003
551.396035,327.3147119,50.78808845,4.503947838
550.2487898,322.1690321,110.8190852,3.7180962
553.0554182,331.1414495,171.6798779,3.180172761
552.7109266,320.4592737,298.6397377,2.831276727
545.1913872,549.1766086,47.54954819,2.905521659
549.872105,537.709455,109.0137145,2.521059469
552.6386982,549.3709958,174.1420752,2.268510935
548.4027291,562.8768829,234.4813935,1.866825144
546.0832936,555.2601667,297.7604123,1.852403907
547.9445802,787.8004845,49.86713883,2.216006334
546.4993512,778.4775562,110.3773885,2.045239181
546.5864907,778.3586783,175.3984569,1.826037302
550.2051512,762.2324113,233.4538044,2.030171155
551.4440559,776.5831113,300.8438779,1.44408073
554.8124747,993.9354846,52.33935543,1.861224559
551.1667119,1000.854593,107.6367721,1.698169883
550.3217003,998.5900123,174.7633691,1.580813114
547.7828851,994.2651734,232.0184539,1.347043212
547.6039455,995.4062593,299.4562765,1.279963519
53.68532947,98.28543601,52.15624257,3.636630243
46.74125286,102.4863453,112.4404171,2.612021021
50.40714211,88.88832679,172.8753843,1.988417649
53.26869555,104.2926177,234.5775021,1.777577494
44.94950439,104.9154039,300.0900876,1.575253609
51.4134115,325.4289972,49.52786564,1.631783555
53.21353449,340.8230944,113.2707133,1.367900349
51.5919232,328.9237707,177.6500626,1.142983223
43.4639922,331.0015507,301.6577087,1.02195932
52.81588252,542.8541166,52.81844083,1.064923829
50.82009678,547.1539327,110.0878145,0.874968326
47.52309305,540.3810827,175.1143199,0.863769762
46.0678097,547.9281994,237.1672115,0.765003022
50.37112897,554.0271768,300.4716223,0.807001833
51.48966694,775.0939619,52.25652114,0.79857868
51.2144169,770.3304679,106.4960943,0.834895803
54.58979384,766.8068674,173.3446955,0.706309581
48.28977473,767.0390294,236.2419475,0.786743218
48.88186251,768.1459387,298.158949,0.696487924
49.76453427,1009.363482,46.65526605,0.752812856
51.65106988,981.3722714,107.8084638,0.609312639
53.74767177,1004.80057,174.9245651,0.59396915
46.39806578,1010.747034,236.5343106,0.560684077
49.33784537,999.1211244,299.5822169,0.565684737
302.0638652,102.6460536,50.12247359,10.7066437
303.4534217,91.69432892,107.8921703,7.666555313
309.8913274,91.94566797,176.5267801,5.801380978
303.1742408,101.2500015,234.5962295,4.824209999
298.9722752,93.863509,297.3677549,3.991991361
302.8384072,330.8795041,47.38020371,4.434265151
302.0008911,326.7922344,109.4261595,3.694620897
301.3432275,333.0684251,172.7649119,3.228088227
301.4205727,311.9359973,299.1984304,2.738338786
299.2053801,543.8086491,49.53550971,2.968555477
299.4823865,554.0607595,109.4536575,2.548397117
299.489467,553.7936735,173.3454153,2.283809743
304.487221,545.008619,235.9459377,1.800931546
292.8548447,558.4308964,300.1147771,1.889317803
301.0052368,786.8093943,52.87269952,2.107109808
302.2015361,774.4788158,112.4590518,1.947684336
303.5506399,784.5465873,175.310625,1.718640107
298.2487732,777.0989201,231.5959862,1.947702733
299.7991844,774.512966,298.5179905,1.588176699
298.4742287,999.8047901,51.19069623,1.843020357
303.8853434,1008.661094,111.4429164,1.68728335
298.8051163,1004.939871,173.8356136,1.520103163
296.4815098,1000.690983,238.1419401,1.423360348
300.6649723,1009.635737,299.364778,1.334714218
297.79167,93.50976116,49.66823764,11.06412617
299.3209241,103.7096719,107.4186268,8.016304595
299.4001529,99.18554093,173.3774584,6.033728705
298.9057552,104.6889574,236.374187,5.00750087
297.4087772,95.73690914,304.2108537,4.296063602
298.7862463,321.7983292,51.90691868,4.718558675
301.6384538,331.1571535,108.6939572,3.924291522
296.5095899,334.2372613,174.7678963,3.363351427
303.94233,314.2232052,300.178468,2.864283897
310.6112847,546.3690464,50.4796264,3.090086865
296.7182568,551.9578899,108.1980325,2.714589891
301.737446,560.2517103,180.4034996,2.392263234
299.2181793,546.1577987,237.1907444,1.909660453
294.8807552,547.2755936,297.6312924,1.881146082
295.4186058,771.2759017,50.71296862,2.328893197
298.9735878,768.3751155,110.7136652,2.049145403
299.8231899,776.5875992,173.6637017,1.884877589
304.2170843,767.1516464,234.5413543,2.124372069
296.0592694,781.6006746,300.6902302,1.521418239
304.2952696,1001.063491,53.83716895,1.809347597
298.3367698,1002.366325,106.4482148,1.750604406
300.9042286,999.1134395,175.064467,1.535400427
299.8876984,1003.094215,231.8269042,1.454155829
296.292094,995.5030238,300.3835531,1.298044559
294.1662834,99.90009941,52.08176111,10.64838421
295.1970231,101.0482,111.5785365,7.587623903
301.814913,106.7422714,172.7959146,5.803613089
293.615563,91.38389781,232.6252266,5.017020132
298.0036724,99.76119195,296.0285927,4.030174903
301.9795633,327.4632626,51.07554804,4.450728475
299.8955508,330.5158444,111.0354265,3.767026826
296.7631935,316.9773575,173.0208441,3.126615639
298.8260924,321.4492498,299.0971068,2.779399898
303.3280106,559.2680422,50.13237045,2.905162444
297.9918153,555.225667,111.6418913,2.487679788
300.9066821,553.3045138,175.4183142,2.178332538
297.020977,550.0791628,237.2875226,1.787245466
300.0501589,542.9364385,300.5771082,1.864784295
301.9094462,763.7627889,48.67650445,2.112491514
304.4080768,772.5244654,107.9302052,2.011928975
305.1089867,779.4273783,172.7379444,1.787546653
299.6987051,772.9198982,234.9087105,2.068455779
300.6585229,766.1736044,301.5061757,1.481370277
295.5646015,996.653298,47.54541468,1.700905838
300.1775199,1006.561511,109.0200757,1.591085646
296.6052934,1009.586213,174.8392711,1.585685272
292.9610005,999.9130095,234.3143824,1.385138337
303.4256325,1004.511112,298.917048,1.205703572
548.439692,102.1839236,48.51644233,10.68184001
548.3915541,100.1684922,107.830785,7.51638567
546.8974655,103.730388,176.5737632,5.870744617
547.2264703,99.43941288,232.3763698,4.969693341
552.2791412,99.91634949,300.4223062,4.117550847
547.7686798,323.5865056,50.15086494,4.562370187
552.3357841,321.2310214,109.9331076,3.775231999
546.866977,325.6684278,175.8053574,3.129338014
550.3515786,322.1678612,302.5293871,2.757326363
546.466411,543.0729153,46.89521572,3.000299281
547.2972813,542.837091,109.6683407,2.564113244
546.4537125,552.1991872,172.9476786,2.268090524
546.1180088,550.336565,235.1555211,1.873698848
550.1040045,557.339188,300.8030041,1.853994405
548.3464178,773.8945691,51.07736414,2.175855821
552.3027646,773.0711093,112.0564158,2.03117029
542.3710025,765.7689918,172.485965,1.743354714
553.1870837,770.5590615,235.4016356,2.070913855
551.6775271,785.7702019,300.7941592,1.492613902
552.1061975,1018.467182,50.37914335,1.745972153
556.7973763,987.8625047,108.0954683,1.623525609
549.9747686,1010.88829,172.738511,1.525710766
550.7853542,1015.427598,235.0585725,1.460353826
545.0296457,1006.681693,299.904254,1.293705964
43.87516903,95.63384788,53.3282888,3.583018167
53.90072107,98.04226497,109.1128782,2.656657603
55.58226572,92.03292641,174.9474102,2.096037178
50.71972179,107.9912556,235.8220399,1.755735775
48.75111134,94.96932089,298.0778355,1.549801199
48.14157208,326.6305079,49.8290401,1.675905196
48.81946276,311.2073999,109.3590155,1.434504179
46.72752952,325.1081396,175.7130777,1.110243906
52.0057048,325.3927589,301.2177272,1.081168221
43.10081051,551.2075508,47.46501647,1.052095742
51.93527149,549.3600241,112.9397858,0.97928947
48.00728294,552.9037171,173.4529234,0.799242134
49.3237124,548.2572041,232.287078,0.743436851
48.98494661,555.9950257,296.4458307,0.729920355
46.12929315,778.3122554,46.18881475,0.85987172
54.9708537,766.1916731,109.9488084,0.856694546
47.25017833,779.7952638,172.8019164,0.659097979
50.75235031,768.340192,235.8877342,0.838718567
48.39047549,770.8943732,298.3465855,0.624275248
54.82236534,998.7382964,52.07387412,0.795993451
47.43800156,1007.237614,110.2940097,0.704519429
53.36069225,1000.280831,174.5853393,0.579001456
46.03125903,992.1213198,232.3273292,0.6215856
43.24654346,1000.599094,298.2335545,0.628010067
305.5405819,95.70460693,49.9067963,10.74503296
303.2048469,93.8816737,110.0376347,7.553356972
287.4057821,93.20992847,173.7939691,5.853840035
299.6029312,98.15176035,235.6771786,4.777935984
298.8775529,99.8933392,300.8263992,4.037048466
298.4127733,324.3474764,52.45318188,4.495040716
301.9133641,325.5654019,110.3228011,3.728647307
303.1571806,333.9520201,176.2733577,3.185864048
300.7906799,314.8060948,301.7422044,2.688173006
296.360971,551.5638615,48.54479183,2.888490489
299.6455757,553.9083428,112.7054141,2.604186754
305.4505542,545.9179824,177.8258812,2.239280216
296.5759095,541.0041067,237.521378,1.880782385
304.3276295,544.9311179,298.9909326,1.77436725
303.5662077,773.3708371,50.93592718,2.202053824
302.3703648,775.8721666,109.9218961,1.934599076
299.9408612,782.6227352,176.0457191,1.794676919
300.9243889,783.2034012,237.5325919,1.946311101
301.9802643,764.8713536,299.7377477,1.507828158
297.9564233,993.9540795,49.27150033,1.796798912
300.525614,1008.950945,105.6307493,1.621250021
302.4196674,998.6371619,174.8948413,1.538156995
302.6535265,999.7385728,232.7880156,1.366840364
303.1874963,1009.549502,299.8906093,1.264340183
305.1860601,97.43983819,49.19877671,11.16133168
302.7427358,97.89808012,108.3786084,7.931848817
301.0288019,92.20600013,171.8429169,6.055955855
299.7781627,95.03858287,234.8220405,5.044896236
298.2288136,95.72487933,300.8056686,4.302639794
296.8463857,339.3933242,51.29122046,4.738530266
300.4720695,322.8001644,110.3862446,3.96542479
296.0055621,325.5437889,174.3920764,3.328889561
304.5432214,330.4204039,297.5486878,3.002830887
298.5164791,543.8335442,49.81588877,3.052377931
304.7530504,553.7479677,110.397731,2.611199837
305.5240724,549.9670234,174.6797116,2.344548025
304.055782,540.2048933,233.9017967,1.900616461
300.4013417,548.2968188,302.1449947,1.958287677
295.9259307,772.6779818,50.06335229,2.263841843
300.2710121,771.3063259,109.5724865,2.098846334
297.6919914,776.5247599,173.5591218,1.851280026
293.4317512,773.3324741,235.8630881,2.077086149
299.770096,771.9149632,298.7170865,1.717241954
299.4507783,989.298761,50.6925424,1.929274858
297.4822347,988.4622775,111.285691,1.735250644
299.8043094,1004.470733,175.927493,1.60027667
299.4297056,1004.631292,234.7628901,1.474031478
303.3087179,993.784976,300.2734029,1.338472617
295.9700867,92.14035591,49.32875308,10.70628261
300.0371198,99.93663933,108.7760277,7.499415164
300.1838639,102.2602423,174.6086919,5.835907371
299.9523534,97.90178605,235.3813843,5.077578823
306.5455583,97.03978063,300.789041,4.09229743
303.2331984,336.5074727,50.55011042,4.541709977
294.6441176,328.7847264,113.6805783,3.75123051
294.9850442,329.9096563,175.5886191,3.177036802
299.2095511,324.7395774,302.2604803,2.815337374
298.0252533,548.9098994,50.86760319,2.928765761
297.8219643,552.3713903,112.9307265,2.560904602
296.7319803,554.3644609,178.2993032,2.228603648
300.6645916,534.376133,232.5740133,1.785586237
293.8205181,550.4497482,300.705218,1.858895245
298.2342188,777.7264594,51.51730824,2.180259103
296.2714963,770.8960345,109.1436198,1.92568933
300.3730222,766.1126955,173.1135444,1.796233288
295.0000486,793.0930199,236.6205568,2.065149625
297.6248486,773.900171,299.9925576,1.530771929
300.4307755,1014.755808,49.1449917,1.845136163
296.9886649,999.9348006,108.6795711,1.621963224
291.8187024,1002.549347,175.3342055,1.517838616
298.9217912,991.7315488,232.7815678,1.452151181
298.7274229,1001.852579,299.4376777,1.228466971
550.2532502,102.5784595,49.30500166,10.72690333
548.9250197,102.0105349,110.5460235,7.572044438
549.1212259,108.0001986,174.9743193,5.83336897
547.4060724,107.6371735,234.8855558,4.958922685
549.0758189,89.96646724,299.2849433,3.97708019
550.9345399,328.0662319,50.21585997,4.475966891
550.338858,325.2573529,111.042583,3.699508432
547.1335244,321.6161176,175.3784945,3.127894325
550.4832966,332.2767417,301.4237573,2.738269133
547.535203,545.0667605,50.02238921,2.869940827
546.0324724,553.3005137,109.2394737,2.518082927
544.6215815,537.6805282,179.3850215,2.259018614
549.3201595,554.2792725,234.8215223,1.806443824
546.550858,542.689728,298.7486931,1.860587754
545.4184122,774.8809703,46.77067308,2.132178585
552.4899894,778.5833816,110.7543639,2.021073039
555.0210929,771.7429989,177.4092266,1.831534002
549.489674,778.1956522,236.6167865,2.109144179
551.7007884,773.1434407,297.753123,1.541948227
544.4092633,1004.013938,50.50413104,1.834074621
551.3213071,999.2538722,110.6139448,1.710196278
549.1263098,991.3754865,176.9147794,1.548358497
548.3014949,1000.479459,233.677826,1.451089908
547.4738633,1000.908974,299.7579328,1.235735108
53.82565171,99.72456696,47.11360906,3.66981486
50.39020829,93.66529384,107.5825527,2.705144608
45.24066489,106.2932681,176.5779376,2.079455273
53.90823164,100.4890091,235.0208216,1.727941184
51.35709932,97.3237417,298.7932304,1.548329325
53.35699047,333.4961251,48.35307095,1.682003752
55.47666676,326.0427628,108.9880545,1.415227516
47.72976054,322.4700527,175.9803186,1.167548346
48.02854701,319.056248,300.9239773,0.99531498
51.05757697,542.8391951,48.02904761,1.099712266
50.80981274,554.1979754,111.7600574,0.955860616
51.80535691,545.1355552,176.260915,0.873933791
49.43393659,557.4540484,237.1347474,0.708132676
51.12780723,547.8932238,301.1368495,0.688829579
54.43986866,780.3211618,50.19763436,0.855590695
48.70056073,769.8779439,111.9565639,0.810904784
47.89800434,773.7211878,176.4685806,0.643058885
51.09560737,772.5128164,235.3010628,0.795164941
51.01250071,759.8811013,301.8346356,0.66034784
49.4586578,997.7466658,51.59645635,0.720727003
54.16552237,1007.756299,107.6028056,0.6779946
46.41301338,1004.425124,176.2631305,0.620373003
47.46888384,1007.509851,235.831432,0.709027701
47.35851819,1000.267414,298.4429424,0.518226973
303.4502382,110.3683846,46.05052149,10.72953943
301.0989766,103.0505865,112.4188574,7.61904398
302.7033712,109.3297757,175.6088706,5.827668219
298.2201545,109.0623459,233.673386,4.755796166
303.5571733,95.25264231,300.1518954,4.047266341
303.1813231,322.5849627,50.7179756,4.535823341
300.977287,319.3815852,107.6451771,3.701063972
294.2363522,337.3458504,175.6906652,3.105365416
298.2198114,332.2642219,301.7422037,2.839871619
296.1667978,558.2723672,49.24414949,2.869232624
302.2532773,558.7282631,108.7924274,2.554877917
298.5115567,561.0781981,174.1118925,2.308957779
302.6218307,553.783983,236.0243618,1.745231846
299.748531,553.2198811,304.035965,1.903205852
300.1702932,770.0424251,49.26151169,2.222556501
301.1966771,781.8079773,108.6107035,2.041307019
297.5561297,763.2340658,176.2176508,1.764410819
301.6629403,777.5384574,237.2092808,2.01610111
303.8334323,779.5387612,299.7364408,1.54404434
298.0981367,996.8456401,51.36314454,1.794403641
301.9679255,999.409475,111.358655,1.665819392
299.9373275,996.0320809,175.768434,1.534177852
299.7910964,1000.244227,237.8031971,1.362022099
297.7319064,992.6634958,300.2506926,1.333303304
297.3734817,91.17131877,48.77520225,11.07711859
293.3955403,96.69224293,110.9696478,7.938436107
297.7004099,103.893004,176.8375783,6.074350804
305.2305862,91.12199938,235.1975357,5.013375707
298.8137716,101.3262614,298.7941901,4.178997907
297.7041246,327.9504106,49.35591379,4.70692544
301.3739153,323.414568,111.086875,3.903317193
303.5830928,324.4108047,177.1884212,3.240615543
